time period,train operating company name,NR on TOC External,NR on TOC Non Track Assets,NR on TOC Severe Weather,NR on TOC Track,TOC on Self Fleet,TOC on Self Operations,TOC on Self Traincrew,TOC on TOC Fleet,TOC on TOC Operations,TOC on TOC Traincrew
Apr 2025 to Mar 2026 (Period 01),TransPennine Express,7415.4,6464.7,535.8,3855.9,5555.6,357.8,2453.1,6792.8,1228.3,2387.7
Apr 2022 to Mar 2023 (Period 01),Vintage Trains,[z],14.0,[z],3.0,[z],15.0,[z],[z],[z],[z]
Apr 2022 to Mar 2023 (Period 02),Vintage Trains,[z],[z],[z],4.0,[z],[z],[z],9.0,[z],[z]
Apr 2022 to Mar 2023 (Period 03),Vintage Trains,58.0,26.0,[z],5.0,18.0,9.0,[z],[z],2.5,9.0
Apr 2022 to Mar 2023 (Period 04),Vintage Trains,[z],[z],10.0,10.0,137.0,7.0,[z],[z],[z],8.0
Apr 2022 to Mar 2023 (Period 05),Vintage Trains,14.0,[z],[z],5.0,21.0,[z],[z],4.0,[z],9.0
Apr 2022 to Mar 2023 (Period 06),Vintage Trains,4.0,[z],[z],13.0,[z],3.0,[z],[z],[z],15.0
Apr 2022 to Mar 2023 (Period 08),Vintage Trains,[z],[z],[z],3.0,[z],3.0,[z],[z],[z],[z]
Apr 2022 to Mar 2023 (Period 09),Vintage Trains,11.0,155.0,2.5,7.0,22.0,177.0,3.0,39.0,5.0,35.0
Apr 2022 to Mar 2023 (Period 10),Vintage Trains,6.0,159.0,[z],[z],5.0,145.0,[z],[z],[z],15.0
Apr 2022 to Mar 2023 (Period 12),Vintage Trains,[z],[z],3.0,[z],[z],[z],[z],[z],[z],[z]
Apr 2022 to Mar 2023 (Period 13),Vintage Trains,[z],3.0,[z],2.0,[z],2.0,[z],4.0,[z],[z]
Apr 2023 to Mar 2024 (Period 01),Vintage Trains,15.0,[z],[z],[z],9.0,22.0,[z],[z],[z],[z]
Apr 2023 to Mar 2024 (Period 03),Vintage Trains,12.0,[z],15.0,3.0,[z],12.0,[z],21.0,[z],[z]
Apr 2023 to Mar 2024 (Period 04),Vintage Trains,[z],[z],[z],1.0,[z],20.0,[z],3.0,[z],14.0
Apr 2023 to Mar 2024 (Period 05),Vintage Trains,6.0,[z],[z],1.0,[z],4.0,[z],[z],[z],9.0
Apr 2023 to Mar 2024 (Period 06),Vintage Trains,[z],[z],2.0,3.0,[z],[z],[z],[z],[z],[z]
Apr 2023 to Mar 2024 (Period 07),Vintage Trains,[z],19.0,17.0,[z],36.0,14.0,[z],[z],[z],[z]
Apr 2023 to Mar 2024 (Period 08),Vintage Trains,[z],[z],14.5,2.0,[z],9.0,[z],[z],[z],[z]
Apr 2023 to Mar 2024 (Period 09),Vintage Trains,[z],3.0,3.0,19.0,[z],87.0,[z],18.0,[z],7.0
Apr 2023 to Mar 2024 (Period 10),Vintage Trains,12.0,14.0,1.5,12.0,[z],91.0,[z],[z],[z],11.0
Apr 2023 to Mar 2024 (Period 12),Vintage Trains,[z],[z],[z],[z],[z],7.0,[z],16.0,[z],[z]
Apr 2023 to Mar 2024 (Period 13),Vintage Trains,[z],[z],[z],[z],[z],30.0,[z],[z],[z],[z]
Apr 2024 to Mar 2025 (Period 02),Vintage Trains,[z],[z],[z],14.0,28.0,18.0,[z],4.0,[z],[z]
Apr 2024 to Mar 2025 (Period 03),Vintage Trains,[z],21.0,1.0,[z],[z],47.0,4.0,12.0,4.0,[z]
Apr 2024 to Mar 2025 (Period 04),Vintage Trains,[z],10.0,[z],4.0,[z],17.0,[z],11.0,[z],[z]
Apr 2024 to Mar 2025 (Period 05),Vintage Trains,[z],[z],[z],[z],3.0,[z],[z],[z],[z],[z]
Apr 2024 to Mar 2025 (Period 07),Vintage Trains,10.0,27.0,17.0,[z],31.0,11.0,12.0,[z],[z],6.0
Apr 2024 to Mar 2025 (Period 08),Vintage Trains,[z],9.0,[z],[z],[z],[z],[z],[z],[z],[z]
Apr 2024 to Mar 2025 (Period 09),Vintage Trains,13.0,33.0,51.0,16.0,27.0,40.0,[z],42.0,[z],3.0
Apr 2024 to Mar 2025 (Period 10),Vintage Trains,[z],[z],4.0,6.0,[z],46.0,[z],24.0,[z],4.0
Apr 2024 to Mar 2025 (Period 13),Vintage Trains,[z],[z],[z],5.0,67.0,16.0,[z],[z],[z],7.0
Apr 2025 to Mar 2026 (Period 01),Vintage Trains,[z],[z],[z],[z],[z],[z],[z],[z],[z],[z]
Apr 2022 to Mar 2023 (Period 01),West Midlands Trains,10464.5,11524.2,682.2,5311.0,3763.7,110.0,6431.5,2492.0,762.4,1161.6
Apr 2022 to Mar 2023 (Period 02),West Midlands Trains,9497.3,8000.3,2001.7,5161.0,4741.5,272.0,6229.0,2309.8,877.4,1556.1
Apr 2022 to Mar 2023 (Period 03),West Midlands Trains,4451.6,11099.7,3123.4,3899.0,5164.2,846.0,6864.0,5337.1,736.8,1664.5
Apr 2022 to Mar 2023 (Period 04),West Midlands Trains,5890.4,16933.6,5862.4,8456.0,5537.0,801.0,9758.0,4262.0,823.5,2632.4
Apr 2022 to Mar 2023 (Period 05),West Midlands Trains,13203.7,11346.5,3861.2,8355.0,6963.0,933.0,7289.5,3960.2,1071.7,3073.0
Apr 2022 to Mar 2023 (Period 06),West Midlands Trains,8709.5,12789.4,2932.3,9752.0,4255.0,281.0,9266.5,3293.4,1216.9,2955.1
Apr 2022 to Mar 2023 (Period 07),West Midlands Trains,9098.7,6871.5,2317.7,7364.0,4234.3,413.0,5959.0,2670.1,1271.3,1727.3
Apr 2022 to Mar 2023 (Period 08),West Midlands Trains,11872.2,11318.5,5463.9,9145.0,4084.7,993.0,9251.6,5660.7,1593.0,3517.2
Apr 2022 to Mar 2023 (Period 09),West Midlands Trains,7501.4,9356.6,4848.9,12721.0,8360.1,351.0,8430.2,3462.0,1165.9,3155.8
Apr 2022 to Mar 2023 (Period 10),West Midlands Trains,4912.0,9618.2,1796.2,6049.0,4777.3,1102.4,5048.1,2141.9,806.1,1819.9
Apr 2022 to Mar 2023 (Period 11),West Midlands Trains,7758.5,13996.6,4805.3,5072.0,8241.3,279.8,5252.8,4393.6,1059.5,2758.4
Apr 2022 to Mar 2023 (Period 12),West Midlands Trains,7918.2,5396.4,1993.5,5246.0,8537.1,315.7,6479.4,4079.4,948.0,1675.9
Apr 2022 to Mar 2023 (Period 13),West Midlands Trains,7462.3,7311.8,2131.6,2851.0,5276.5,571.3,5297.5,2850.0,1129.9,1945.7
Apr 2023 to Mar 2024 (Period 01),West Midlands Trains,9543.0,7539.9,3522.8,4931.1,5093.5,672.0,5871.5,3247.8,967.5,1863.2
Apr 2023 to Mar 2024 (Period 02),West Midlands Trains,8029.9,6404.5,1656.7,4891.0,5061.0,314.0,5947.0,2996.0,744.6,1362.0
Apr 2023 to Mar 2024 (Period 03),West Midlands Trains,11007.7,16195.5,9819.6,4652.0,5643.0,258.5,7202.5,6331.7,1132.0,2275.6
Apr 2023 to Mar 2024 (Period 04),West Midlands Trains,8082.6,13165.3,1819.6,4990.3,6120.3,317.0,5906.0,3716.7,1494.7,3679.7
Apr 2023 to Mar 2024 (Period 05),West Midlands Trains,7696.1,6258.1,1635.3,3128.8,4058.0,563.0,9058.5,5359.7,1207.2,2872.1
Apr 2023 to Mar 2024 (Period 06),West Midlands Trains,7332.5,9492.7,1310.6,4920.3,6356.2,182.0,5789.5,4469.3,1239.8,2734.8
Apr 2023 to Mar 2024 (Period 07),West Midlands Trains,7918.2,7171.8,1616.9,4312.3,5693.0,774.0,6209.5,4704.5,1131.5,2483.0
Apr 2023 to Mar 2024 (Period 08),West Midlands Trains,9923.7,11303.3,7271.5,6798.0,7433.4,592.5,6211.5,5129.3,1184.2,2545.5
Apr 2023 to Mar 2024 (Period 09),West Midlands Trains,6853.0,20096.8,6431.7,4051.0,7366.0,390.0,10743.5,4539.6,1216.1,3301.5
Apr 2023 to Mar 2024 (Period 10),West Midlands Trains,10183.6,8434.3,10938.0,3606.7,4744.3,209.5,6188.5,3605.9,1203.4,2991.1
Apr 2023 to Mar 2024 (Period 11),West Midlands Trains,5563.5,10311.7,3927.5,4776.0,5792.8,157.5,5557.6,4699.5,1185.4,1886.9
Apr 2023 to Mar 2024 (Period 12),West Midlands Trains,6640.1,9026.1,7534.5,4317.7,5402.7,191.0,5955.0,3677.8,883.1,2376.5
Apr 2023 to Mar 2024 (Period 13),West Midlands Trains,7671.6,8739.0,2837.8,2822.1,6448.3,240.4,5493.2,3386.6,803.7,2161.8
Apr 2024 to Mar 2025 (Period 01),West Midlands Trains,9916.0,13082.0,1035.5,4695.0,3405.0,282.0,5572.0,3253.0,472.5,1410.0
Apr 2024 to Mar 2025 (Period 02),West Midlands Trains,16685.0,8926.0,1554.0,4592.0,6223.0,248.0,7268.0,4214.5,525.5,1491.0
Apr 2024 to Mar 2025 (Period 03),West Midlands Trains,12070.1,10549.0,657.5,4458.0,6542.0,632.5,7998.0,5220.0,762.8,2312.8
Apr 2024 to Mar 2025 (Period 04),West Midlands Trains,5902.0,13062.1,1371.5,5512.0,7004.5,680.5,8444.5,8573.5,598.6,2464.8
Apr 2024 to Mar 2025 (Period 05),West Midlands Trains,12282.0,13653.5,842.0,3430.0,8425.5,913.0,6699.0,4427.5,754.5,1862.0
Apr 2024 to Mar 2025 (Period 06),West Midlands Trains,8704.2,10430.0,1005.1,2585.0,6660.0,897.0,7972.0,4158.0,1185.3,1772.0
Apr 2024 to Mar 2025 (Period 07),West Midlands Trains,10015.0,8649.1,4662.9,2160.0,6617.0,832.0,8641.2,5428.1,1110.2,1746.5
Apr 2024 to Mar 2025 (Period 08),West Midlands Trains,6958.1,9285.9,7014.0,5782.4,6905.0,433.0,7719.8,5337.7,1116.4,2314.4
Apr 2024 to Mar 2025 (Period 09),West Midlands Trains,12855.9,16223.0,15123.4,6348.0,7227.0,3179.3,8771.5,5479.7,995.5,2553.5
Apr 2024 to Mar 2025 (Period 10),West Midlands Trains,5973.7,9584.1,5369.1,5195.1,6771.5,55.0,6612.5,4397.8,864.7,1951.5
Apr 2024 to Mar 2025 (Period 11),West Midlands Trains,8257.7,8416.3,5923.8,4400.0,8314.0,203.0,4492.0,6366.9,683.0,1318.0
Apr 2024 to Mar 2025 (Period 12),West Midlands Trains,6241.1,11949.7,1702.4,5435.0,6482.0,84.0,4674.5,4491.6,841.8,1466.9
Apr 2024 to Mar 2025 (Period 13),West Midlands Trains,8931.6,9233.0,206.3,6365.4,6127.5,166.8,4569.9,4245.9,803.0,2476.8
Apr 2025 to Mar 2026 (Period 01),West Midlands Trains,10723.1,8121.2,122.6,3894.3,5647.9,302.3,4439.6,3855.7,598.7,1812.4
Apr 2022 to Mar 2023 (Period 01),c2c,1891.0,348.0,161.0,519.0,816.0,21.0,444.0,97.0,39.5,194.0
Apr 2022 to Mar 2023 (Period 02),c2c,499.4,250.7,10.0,2088.0,565.8,24.0,196.0,81.0,17.0,56.0
Apr 2022 to Mar 2023 (Period 03),c2c,1558.0,626.0,33.0,176.0,1744.0,113.0,667.0,66.0,25.0,207.0
Apr 2022 to Mar 2023 (Period 04),c2c,1361.4,1201.9,2146.0,261.0,922.6,20.5,512.0,21.0,27.0,31.0
Apr 2022 to Mar 2023 (Period 05),c2c,871.5,1302.0,3898.0,3663.0,593.0,60.0,536.0,125.0,26.0,36.0
Apr 2022 to Mar 2023 (Period 06),c2c,305.0,1203.0,1667.0,3002.0,627.5,31.0,874.0,32.0,110.0,28.0
Apr 2022 to Mar 2023 (Period 07),c2c,328.0,837.0,31.0,392.0,410.0,126.0,331.0,18.0,44.0,27.0
Apr 2022 to Mar 2023 (Period 08),c2c,1634.0,105.0,316.5,809.0,266.0,73.5,554.0,46.0,30.0,52.0
Apr 2022 to Mar 2023 (Period 09),c2c,2571.0,1222.0,107.0,1105.0,350.0,175.0,215.0,120.0,51.0,116.0
Apr 2022 to Mar 2023 (Period 10),c2c,132.0,1119.5,49.0,479.0,366.4,55.0,284.0,36.0,26.0,211.0
Apr 2022 to Mar 2023 (Period 11),c2c,379.0,394.0,23.0,470.0,297.0,86.0,318.0,65.0,38.5,39.0
Apr 2022 to Mar 2023 (Period 12),c2c,2129.1,350.2,36.0,1214.0,131.8,127.0,343.5,20.0,45.0,68.0
Apr 2022 to Mar 2023 (Period 13),c2c,3366.3,357.2,109.0,270.0,244.4,98.0,204.2,21.0,58.0,11.0
Apr 2023 to Mar 2024 (Period 01),c2c,709.1,788.1,9.0,161.0,259.6,52.0,185.0,63.0,76.0,49.0
Apr 2023 to Mar 2024 (Period 02),c2c,1979.1,653.3,0.1,192.0,316.5,25.0,569.0,34.0,52.0,231.0
Apr 2023 to Mar 2024 (Period 03),c2c,1087.0,2612.0,150.0,3396.0,444.0,17.0,295.0,149.0,62.0,181.0
Apr 2023 to Mar 2024 (Period 04),c2c,1181.4,653.0,0.3,1065.0,773.1,22.0,434.0,41.5,61.5,57.0
Apr 2023 to Mar 2024 (Period 05),c2c,509.1,288.1,3.0,322.0,203.3,13.0,266.0,92.0,22.0,133.0
Apr 2023 to Mar 2024 (Period 06),c2c,2160.0,466.1,5.0,235.0,386.4,18.0,245.0,322.0,139.5,208.0
Apr 2023 to Mar 2024 (Period 07),c2c,2546.0,320.0,7.0,498.0,652.0,83.0,300.0,75.0,96.5,44.0
Apr 2023 to Mar 2024 (Period 08),c2c,437.0,352.0,16.0,865.0,1931.0,18.0,437.0,25.0,90.0,48.0
Apr 2023 to Mar 2024 (Period 09),c2c,818.0,468.0,55.5,525.0,614.0,30.5,523.0,73.0,78.5,133.0
Apr 2023 to Mar 2024 (Period 10),c2c,383.0,215.0,1040.5,539.0,420.0,78.0,1132.0,97.0,55.5,102.0
Apr 2023 to Mar 2024 (Period 11),c2c,312.6,1175.5,744.4,520.0,1265.2,17.0,450.0,22.0,34.0,13.0
Apr 2023 to Mar 2024 (Period 12),c2c,1018.0,127.0,51.0,12.0,1005.0,54.0,177.0,75.0,59.0,14.0
Apr 2023 to Mar 2024 (Period 13),c2c,637.8,689.3,44.5,72.2,884.2,35.7,358.2,7.8,35.8,8.0
Apr 2024 to Mar 2025 (Period 01),c2c,129.0,189.0,4189.0,262.0,1119.0,90.0,382.0,48.0,45.5,27.0
Apr 2024 to Mar 2025 (Period 02),c2c,215.0,631.0,30.0,1046.0,555.5,13.0,166.0,87.0,38.0,3.0
Apr 2024 to Mar 2025 (Period 03),c2c,575.0,938.0,27.0,292.0,1301.0,59.0,1186.0,72.0,42.5,34.0
Apr 2024 to Mar 2025 (Period 04),c2c,793.0,3482.0,3.0,329.0,1671.0,67.0,315.0,90.0,46.0,22.0
Apr 2024 to Mar 2025 (Period 05),c2c,1648.0,438.0,[z],528.0,1712.0,71.5,470.0,56.0,71.0,35.0
Apr 2024 to Mar 2025 (Period 06),c2c,334.0,472.0,12.0,359.0,1017.0,221.0,597.0,50.0,48.5,33.0
Apr 2024 to Mar 2025 (Period 07),c2c,1245.5,1026.0,17.5,488.0,893.0,57.0,304.0,285.0,55.0,157.0
Apr 2024 to Mar 2025 (Period 08),c2c,617.0,1396.0,1166.0,146.0,1963.0,25.0,520.0,81.0,33.0,56.0
Apr 2024 to Mar 2025 (Period 09),c2c,125.0,619.0,421.0,214.0,1055.0,6.0,535.0,78.0,29.0,41.0
Apr 2024 to Mar 2025 (Period 10),c2c,526.0,1568.0,58.0,367.0,879.0,73.0,438.0,10.0,18.0,14.0
Apr 2024 to Mar 2025 (Period 11),c2c,1931.0,647.0,5.0,174.0,2542.5,135.0,824.0,46.0,40.0,61.0
Apr 2024 to Mar 2025 (Period 12),c2c,3059.0,178.0,5.0,149.0,531.0,207.0,501.0,33.0,114.0,12.0
Apr 2024 to Mar 2025 (Period 13),c2c,984.7,2356.2,48.4,654.2,1049.1,132.1,500.6,30.0,70.0,28.0
Apr 2025 to Mar 2026 (Period 01),c2c,981.9,1242.5,9.1,429.5,1045.3,136.5,235.0,157.8,59.4,86.0
