date,toc_name,nr_on_toc_external,nr_on_toc_non_track_assets,nr_on_toc_severe_weather,nr_on_toc_track,toc_on_self_fleet,toc_on_self_operations,toc_on_self_traincrew,toc_on_toc_fleet,toc_on_toc_operations,toc_on_toc_traincrew
Apr 2022 to Mar 2023 (Period 09),Northern Trains,13480,18849,22609,10070,17228,6736,18555,7912,1516,5207
Apr 2022 to Mar 2023 (Period 10),Northern Trains,5319,11937,5770,5110,10880,8048,12016,3268,967,2716
Apr 2022 to Mar 2023 (Period 11),Northern Trains,13716,24159,15613,9854,26047,8546,15202,6881,2162,5981
Apr 2022 to Mar 2023 (Period 12),Northern Trains,15129,18392,17405,11234,21443,7471,17031,7338,1826,5534
Apr 2022 to Mar 2023 (Period 13),Northern Trains,18065,15614,7233,5377,20844,6559,16225,5260,1706,4025
Apr 2023 to Mar 2024 (Period 01),Northern Trains,21460,17058,3054,6194,15926,4322,13576,7055,1308,4346
Apr 2023 to Mar 2024 (Period 02),Northern Trains,19267,24652,3691,8630,20308,4094,11907,8175,1239,5144
Apr 2023 to Mar 2024 (Period 03),Northern Trains,17418,23743,6852,11325,23886,5718,17488,8075,1518,4189
Apr 2023 to Mar 2024 (Period 04),Northern Trains,18492,21140,5250,8600,20175,4040,14670,7626,1521,5088
Apr 2023 to Mar 2024 (Period 05),Northern Trains,20491,14925,7286,4085,27328,5487,20742,8837,1350,5180
Apr 2023 to Mar 2024 (Period 06),Northern Trains,15154,20744,3082,8646,18294,4889,15954,7783,1190,3828
Apr 2023 to Mar 2024 (Period 07),Northern Trains,16797,22254,9531,3246,20234,8064,18071,11705,1246,4683
Apr 2023 to Mar 2024 (Period 08),Northern Trains,15125,27595,41222,5388,21548,6561,20394,9336,1886,5415
Apr 2023 to Mar 2024 (Period 09),Northern Trains,22176,30130,55830,13834,26167,9248,24291,12091,2638,6317
Apr 2023 to Mar 2024 (Period 10),Northern Trains,14087,18169,26918,3575,23286,10620,14802,9360,1411,4795
Apr 2023 to Mar 2024 (Period 11),Northern Trains,19076,34622,15466,8925,21535,5319,11841,8692,1144,5045
Apr 2023 to Mar 2024 (Period 12),Northern Trains,17912,16420,8692,8585,15146,6245,13539,6037,1475,4748
Apr 2023 to Mar 2024 (Period 13),Northern Trains,15416,16391,7703,6364,16647,6557,12034,7086,1549,4719
Apr 2024 to Mar 2025 (Period 01),Northern Trains,17590,17884,5790,11928,15895,4711,13925,4726,1612,3073
Apr 2024 to Mar 2025 (Period 02),Northern Trains,19136,20916,8584,7841,17542,5519,16590,6351,1346,2994
Apr 2024 to Mar 2025 (Period 03),Northern Trains,21886,14116,6067,8929,15576,5235,19386,9110,1225,3641
Apr 2024 to Mar 2025 (Period 04),Northern Trains,24024,19407,7220,5903,16102,5542,24462,8148,1276,3762
Apr 2024 to Mar 2025 (Period 05),Northern Trains,34322,21565,5543,6960,20462,5213,15774,8382,1123,3680
Apr 2024 to Mar 2025 (Period 06),Northern Trains,29492,22624,14310,6055,20338,6028,19664,9211,1241,3208
Apr 2024 to Mar 2025 (Period 07),Northern Trains,21593,27841,13869,7434,25768,5898,26814,9672,1689,4032
Apr 2024 to Mar 2025 (Period 08),Northern Trains,21520,25621,32035,7005,21304,7414,26922,7263,1735,3648
Apr 2024 to Mar 2025 (Period 09),Northern Trains,27950,28004,44572,4752,24298,6224,17756,10376,1604,5221
Apr 2024 to Mar 2025 (Period 10),Northern Trains,14323,20014,14530,6033,23320,10088,17014,7233,1443,3564
Apr 2024 to Mar 2025 (Period 11),Northern Trains,18693,31329,32028,4898,28746,5973,12918,10957,1361,3416
Apr 2024 to Mar 2025 (Period 12),Northern Trains,18804,20026,3964,7063,25487,4637,12880,8950,1785,3536
Apr 2024 to Mar 2025 (Period 13),Northern Trains,17357,17690,3184,8721,18660,5361,9428,7760,1300,3356
Apr 2025 to Mar 2026 (Period 01),Northern Trains,22297,19711,1373,8692,20208,4806,9254,10404,1473,2999
Apr 2022 to Mar 2023 (Period 01),ScotRail,10810,5937,3909,1980,6898,3209,4754,952,293,568
Apr 2022 to Mar 2023 (Period 02),ScotRail,4981,7648,2812,2151,5587,3530,9638,896,226,520
Apr 2022 to Mar 2023 (Period 03),ScotRail,4987,4713,1090,1716,3714,2878,4000,740,171,560
Apr 2022 to Mar 2023 (Period 04),ScotRail,5098,5427,4967,1976,6707,3325,3919,1023,166,764
Apr 2022 to Mar 2023 (Period 05),ScotRail,6658,8805,18266,3393,6932,3399,5680,1272,405,862
Apr 2022 to Mar 2023 (Period 06),ScotRail,7394,5795,12555,2635,7680,4110,4315,1198,748,1059
Apr 2022 to Mar 2023 (Period 07),ScotRail,7672,6690,22463,4397,8955,2348,5510,950,444,912
Apr 2022 to Mar 2023 (Period 08),ScotRail,4562,8935,30884,3048,6807,1400,4643,2282,800,1366
Apr 2022 to Mar 2023 (Period 09),ScotRail,6003,13358,21529,2948,7357,1844,4802,2017,586,2022
Apr 2022 to Mar 2023 (Period 10),ScotRail,2814,6904,18107,1582,7516,2876,3569,1771,770,913
Apr 2022 to Mar 2023 (Period 11),ScotRail,4913,8086,11925,3751,8622,4422,4358,1702,689,882
Apr 2022 to Mar 2023 (Period 12),ScotRail,6093,7777,4457,4678,6905,3887,3610,1361,563,892
Apr 2022 to Mar 2023 (Period 13),ScotRail,5085,9532,8747,3088,6414,3698,4008,1797,380,539
Apr 2023 to Mar 2024 (Period 01),ScotRail,10048,7386,2880,3106,7644,3289,3400,1367,455,433
Apr 2023 to Mar 2024 (Period 02),ScotRail,8044,6528,1669,2869,8248,3126,3324,1438,380,1250
Apr 2023 to Mar 2024 (Period 03),ScotRail,9314,12233,8402,2831,10488,4097,4356,1875,338,606
Apr 2023 to Mar 2024 (Period 04),ScotRail,4298,4868,9176,4015,8617,3504,3544,1231,273,627
Apr 2023 to Mar 2024 (Period 05),ScotRail,5299,7024,5732,2620,8982,4700,3890,1681,272,832
Apr 2023 to Mar 2024 (Period 06),ScotRail,6282,6276,3258,6019,10302,4246,4137,1452,408,665
Apr 2023 to Mar 2024 (Period 07),ScotRail,6287,12479,36757,3669,7043,2914,5056,865,853,828
Apr 2023 to Mar 2024 (Period 08),ScotRail,6857,9106,30773,5802,8912,2610,6766,2508,554,1199
Apr 2023 to Mar 2024 (Period 09),ScotRail,5484,9402,21698,3363,8428,2784,5410,3880,554,1351
Apr 2023 to Mar 2024 (Period 10),ScotRail,4248,7948,26008,5009,6561,6228,6230,1400,728,1217
Apr 2023 to Mar 2024 (Period 11),ScotRail,5097,11223,23242,4253,8357,5805,6099,2184,453,525
Apr 2023 to Mar 2024 (Period 12),ScotRail,4127,7060,13923,3032,6812,5337,4822,1553,452,832
Apr 2023 to Mar 2024 (Period 13),ScotRail,4067,6558,5266,4028,6122,4951,4274,2058,447,670
Apr 2024 to Mar 2025 (Period 01),ScotRail,6569,7896,11156,4119,6993,4314,4879,1831,450,660
Apr 2024 to Mar 2025 (Period 02),ScotRail,4780,11755,8114,2182,7650,3906,4820,1560,712,300
Apr 2024 to Mar 2025 (Period 03),ScotRail,9952,8652,3247,2890,9177,4660,4337,1436,428,1212
Apr 2024 to Mar 2025 (Period 04),ScotRail,6519,7424,3525,1934,7119,4168,9165,1476,225,490
Apr 2024 to Mar 2025 (Period 05),ScotRail,5493,4274,3238,1608,6258,5659,6486,674,166,535
Apr 2024 to Mar 2025 (Period 06),ScotRail,3964,4865,1208,1038,5889,4586,4333,1704,362,494
Apr 2024 to Mar 2025 (Period 07),ScotRail,5370,5224,3488,4128,9317,4207,3734,1838,487,738
Apr 2024 to Mar 2025 (Period 08),ScotRail,7634,11454,23806,4958,10109,4658,8228,1579,797,1467
Apr 2024 to Mar 2025 (Period 09),ScotRail,8249,13957,19926,5245,10230,6600,7774,4666,945,1037
Apr 2024 to Mar 2025 (Period 10),ScotRail,7145,11334,11403,3246,7345,6927,6932,2467,925,912
Apr 2024 to Mar 2025 (Period 11),ScotRail,6878,8662,10878,1213,9167,5766,6626,1285,554,490
Apr 2024 to Mar 2025 (Period 12),ScotRail,4711,6398,4898,2558,9207,5049,5258,2537,404,413
Apr 2024 to Mar 2025 (Period 13),ScotRail,5308,9699,2146,1322,8068,4467,4397,2066,360,511
Apr 2025 to Mar 2026 (Period 01),ScotRail,7266,8366,1330,1636,7238,4046,4167,1686,496,353
Apr 2022 to Mar 2023 (Period 01),South Western Railway,20494,11079,42,1761,3686,301,3226,888,294,306
Apr 2022 to Mar 2023 (Period 02),South Western Railway,8464,5013,221,1921,3212,398,2290,824,272,639
Apr 2022 to Mar 2023 (Period 03),South Western Railway,17512,22041,73,5494,5625,262,4149,1340,298,562
Apr 2022 to Mar 2023 (Period 04),South Western Railway,15386,18688,8384,5114,5975,589,5028,1303,303,711
Apr 2022 to Mar 2023 (Period 05),South Western Railway,16567,15025,9105,8929,5390,369,3867,1126,367,520
Apr 2022 to Mar 2023 (Period 06),South Western Railway,9544,8680,11192,15549,3618,243,3259,1235,394,514
Apr 2022 to Mar 2023 (Period 07),South Western Railway,5996,8093,1942,10713,2433,204,3023,865,440,530
Apr 2022 to Mar 2023 (Period 08),South Western Railway,7176,16376,10932,8808,5750,1059,5824,1612,621,1199
Apr 2022 to Mar 2023 (Period 09),South Western Railway,7774,23298,16718,20892,7637,848,5430,3447,468,1088
Apr 2022 to Mar 2023 (Period 10),South Western Railway,1539,6689,4901,1258,2032,1056,3930,133,174,234
Apr 2022 to Mar 2023 (Period 11),South Western Railway,14717,35525,12159,6798,4988,877,8625,2990,238,987
Apr 2022 to Mar 2023 (Period 12),South Western Railway,7619,21751,4033,5787,5010,340,3874,5774,286,307
Apr 2022 to Mar 2023 (Period 13),South Western Railway,7583,9303,5340,4395,4686,184,3208,953,426,264
Apr 2023 to Mar 2024 (Period 01),South Western Railway,17776,16171,5520,1936,5042,341,3390,442,274,570
Apr 2023 to Mar 2024 (Period 02),South Western Railway,9954,13234,9749,2890,3990,604,2494,654,313,442
Apr 2023 to Mar 2024 (Period 03),South Western Railway,12262,31619,2754,8461,5222,631,4622,2270,390,596
Apr 2023 to Mar 2024 (Period 04),South Western Railway,11770,17915,114,3295,4418,1277,3343,1255,649,636
Apr 2023 to Mar 2024 (Period 05),South Western Railway,4888,7849,1158,3548,3204,593,4334,940,402,545
Apr 2023 to Mar 2024 (Period 06),South Western Railway,4436,14849,684,5143,6105,471,4208,1469,422,804
Apr 2023 to Mar 2024 (Period 07),South Western Railway,13222,20109,636,7838,5058,825,7769,3473,367,482
Apr 2023 to Mar 2024 (Period 08),South Western Railway,20573,22549,12044,3350,6971,480,5176,2235,386,724
Apr 2023 to Mar 2024 (Period 09),South Western Railway,8880,28996,15734,11134,11367,1971,8888,2195,356,570
Apr 2023 to Mar 2024 (Period 10),South Western Railway,8169,12696,18518,4346,8166,667,4408,711,629,422
Apr 2023 to Mar 2024 (Period 11),South Western Railway,12271,19479,3622,7666,7260,349,5115,1117,597,658
Apr 2023 to Mar 2024 (Period 12),South Western Railway,12223,14676,2176,9234,9553,433,4006,891,284,266
Apr 2023 to Mar 2024 (Period 13),South Western Railway,12119,17593,2963,11605,5540,387,3179,666,244,388
Apr 2024 to Mar 2025 (Period 01),South Western Railway,6800,17556,1693,2199,3169,354,4891,631,162,284
Apr 2024 to Mar 2025 (Period 02),South Western Railway,20625,9220,2246,12470,4760,378,3239,873,245,324
Apr 2024 to Mar 2025 (Period 03),South Western Railway,17158,13447,1764,9618,10019,358,3542,990,250,302
Apr 2024 to Mar 2025 (Period 04),South Western Railway,8335,21489,882,9838,5195,814,3732,4106,393,652
Apr 2024 to Mar 2025 (Period 05),South Western Railway,20077,21410,4977,7926,4868,601,4689,806,528,1267
Apr 2024 to Mar 2025 (Period 06),South Western Railway,23907,11953,4455,6742,5342,739,5772,1095,670,617
Apr 2024 to Mar 2025 (Period 07),South Western Railway,9320,24592,9639,7008,6727,937,7023,2455,532,604
Apr 2024 to Mar 2025 (Period 08),South Western Railway,15136,21130,5145,4719,8595,1165,6653,1664,581,1239
Apr 2024 to Mar 2025 (Period 09),South Western Railway,18708,39946,35489,5315,12114,2212,12245,2980,1646,823
Apr 2024 to Mar 2025 (Period 10),South Western Railway,9968,16066,5753,4742,7384,1226,7760,915,531,755
Apr 2024 to Mar 2025 (Period 11),South Western Railway,8121,33141,4127,9047,6597,602,6598,896,390,935
Apr 2024 to Mar 2025 (Period 12),South Western Railway,7149,13895,3264,6520,4834,1114,6247,938,342,1037
Apr 2024 to Mar 2025 (Period 13),South Western Railway,10337,22543,137,5415,5552,386,5001,1433,260,375
Apr 2025 to Mar 2026 (Period 01),South Western Railway,12920,18307,83,2760,3652,458,4386,604,230,490
Apr 2022 to Mar 2023 (Period 01),Southeastern,13815,5694,55,1611,4699,1321,2091,151,120,442
Apr 2022 to Mar 2023 (Period 02),Southeastern,9262,7551,198,6069,3456,1065,2795,755,144,296
Apr 2022 to Mar 2023 (Period 03),Southeastern,6266,13705,66,1327,4023,2470,2669,962,135,563
Apr 2022 to Mar 2023 (Period 04),Southeastern,8523,17180,4032,10154,5972,2140,3813,457,491,812
Apr 2022 to Mar 2023 (Period 05),Southeastern,15406,19366,1338,5522,4240,2468,2795,1200,189,464
Apr 2022 to Mar 2023 (Period 06),Southeastern,6678,16363,3140,6306,5623,1778,3214,2586,234,781
Apr 2022 to Mar 2023 (Period 07),Southeastern,5717,4092,1788,3865,9475,1384,4074,728,199,483
Apr 2022 to Mar 2023 (Period 08),Southeastern,11940,10386,18796,7366,4981,3272,4450,309,267,544
Apr 2022 to Mar 2023 (Period 09),Southeastern,13762,13828,12548,14820,10485,2124,3478,1095,323,868
Apr 2022 to Mar 2023 (Period 10),Southeastern,2809,28783,13055,4580,8517,7477,2658,262,92,302
Apr 2022 to Mar 2023 (Period 11),Southeastern,6623,23150,1955,3992,9048,3376,3791,2685,288,730
Apr 2022 to Mar 2023 (Period 12),Southeastern,8521,23179,766,8574,8283,1807,4393,1048,285,581
Apr 2022 to Mar 2023 (Period 13),Southeastern,5053,10670,2834,4704,13553,1828,2390,716,148,376
Apr 2023 to Mar 2024 (Period 01),Southeastern,4579,9626,638,1842,4154,1190,3203,3830,246,816
Apr 2023 to Mar 2024 (Period 02),Southeastern,8390,7212,798,1371,3716,1282,4117,2960,168,511
Apr 2023 to Mar 2024 (Period 03),Southeastern,21818,9091,4396,4805,5166,995,3086,959,263,318
Apr 2023 to Mar 2024 (Period 04),Southeastern,7444,14629,1736,3320,4808,2426,3570,1330,279,410
Apr 2023 to Mar 2024 (Period 05),Southeastern,11427,11597,656,1890,7020,1917,3276,784,212,286
Apr 2023 to Mar 2024 (Period 06),Southeastern,17993,6316,363,5157,6317,1324,4492,546,224,363
Apr 2023 to Mar 2024 (Period 07),Southeastern,8185,10961,930,4801,10780,1665,4477,409,602,279
Apr 2023 to Mar 2024 (Period 08),Southeastern,10217,10476,18634,2295,8070,1344,3893,946,428,1604
Apr 2023 to Mar 2024 (Period 09),Southeastern,4272,8286,15900,3747,12918,2089,4849,710,329,494
Apr 2023 to Mar 2024 (Period 10),Southeastern,8277,21252,9360,1615,8121,4233,4636,2027,290,625
Apr 2023 to Mar 2024 (Period 11),Southeastern,3733,13374,8061,6173,10826,2831,4968,708,562,686
Apr 2023 to Mar 2024 (Period 12),Southeastern,14908,9370,1510,2612,6915,7078,4066,566,316,480
Apr 2023 to Mar 2024 (Period 13),Southeastern,5561,6786,3719,5696,5643,1941,4402,4037,3507,374
Apr 2024 to Mar 2025 (Period 01),Southeastern,13458,11242,4703,4069,6414,957,2760,395,170,419
Apr 2024 to Mar 2025 (Period 02),Southeastern,4432,9121,1976,2478,6707,1716,2874,1260,168,362
Apr 2024 to Mar 2025 (Period 03),Southeastern,8140,10528,37,3765,4828,1747,2794,983,196,713
Apr 2024 to Mar 2025 (Period 04),Southeastern,14170,13043,187,7044,9651,2613,3752,952,293,944
Apr 2024 to Mar 2025 (Period 05),Southeastern,11034,20349,968,5079,9427,1965,3038,448,279,690
Apr 2024 to Mar 2025 (Period 06),Southeastern,8604,17087,209,4672,10214,2279,3988,623,306,834
Apr 2024 to Mar 2025 (Period 07),Southeastern,15204,8246,7715,6643,9543,2982,5199,2262,398,1038
Apr 2024 to Mar 2025 (Period 08),Southeastern,6880,24420,10286,2701,11727,2271,5214,926,536,1022
Apr 2024 to Mar 2025 (Period 09),Southeastern,5664,20321,19404,7107,12960,4927,5563,720,713,1412
Apr 2024 to Mar 2025 (Period 10),Southeastern,13376,17318,3707,8331,5571,3698,5070,611,205,360
Apr 2024 to Mar 2025 (Period 11),Southeastern,8261,15606,2047,10579,13275,2275,7559,564,592,1044
Apr 2024 to Mar 2025 (Period 12),Southeastern,9364,11383,4816,3773,11594,2752,4589,530,203,1016
Apr 2024 to Mar 2025 (Period 13),Southeastern,17949,14133,24,5387,12522,2702,4324,1777,317,1077
Apr 2025 to Mar 2026 (Period 01),Southeastern,6396,9838,18,5259,8000,1624,2755,1617,429,599
Apr 2022 to Mar 2023 (Period 01),TfW Rail,6550,4812,2662,1872,10545,2097,6309,1649,288,871
Apr 2022 to Mar 2023 (Period 02),TfW Rail,4486,3353,1213,1721,10034,1320,4566,1684,379,939
Apr 2022 to Mar 2023 (Period 03),TfW Rail,3699,5158,1620,1656,13496,1691,6768,1318,388,881
Apr 2022 to Mar 2023 (Period 04),TfW Rail,8599,6457,1636,3640,13038,1508,6977,1475,767,1550
Apr 2022 to Mar 2023 (Period 05),TfW Rail,5703,9890,1485,3639,17565,2208,7565,2624,609,1309
Apr 2022 to Mar 2023 (Period 06),TfW Rail,5774,5423,1062,4243,14082,2440,9084,1793,476,2010
Apr 2022 to Mar 2023 (Period 07),TfW Rail,5887,8143,1811,4013,11884,1671,5034,1590,372,897
Apr 2022 to Mar 2023 (Period 08),TfW Rail,6478,4875,7377,2134,14971,4600,6860,1860,505,2304
Apr 2022 to Mar 2023 (Period 09),TfW Rail,5149,12383,4325,3151,16098,5647,11318,2990,596,1649
Apr 2022 to Mar 2023 (Period 10),TfW Rail,2415,7703,2310,1035,10179,5216,7778,2625,502,750
Apr 2022 to Mar 2023 (Period 11),TfW Rail,7818,10608,9396,1530,18932,4345,11392,1855,332,1342
Apr 2022 to Mar 2023 (Period 12),TfW Rail,7366,6892,1598,2387,22016,5669,12939,2159,290,1113
Apr 2022 to Mar 2023 (Period 13),TfW Rail,3777,8426,4588,2094,20273,3574,8480,1349,845,1105
Apr 2023 to Mar 2024 (Period 01),TfW Rail,9393,4432,3649,1481,21304,1677,8308,1267,336,1293
Apr 2023 to Mar 2024 (Period 02),TfW Rail,13549,8990,3142,3270,21849,2343,8888,2706,394,816
Apr 2023 to Mar 2024 (Period 03),TfW Rail,8506,10514,4342,3474,29992,2239,10576,4240,471,1150
Apr 2023 to Mar 2024 (Period 04),TfW Rail,9858,15330,3030,2027,21836,2450,13373,2156,384,982
Apr 2023 to Mar 2024 (Period 05),TfW Rail,7684,6186,1018,2385,25160,1482,11078,2916,791,2158
Apr 2023 to Mar 2024 (Period 06),TfW Rail,7089,9742,520,5920,20319,2949,10344,3025,569,1050
Apr 2023 to Mar 2024 (Period 07),TfW Rail,4605,10277,5504,1833,18761,1761,10596,3642,786,1591
Apr 2023 to Mar 2024 (Period 08),TfW Rail,6608,15618,9105,1983,20473,2759,13750,2198,586,2002
Apr 2023 to Mar 2024 (Period 09),TfW Rail,6259,15526,10219,2567,25998,4219,13910,4259,466,2537
Apr 2023 to Mar 2024 (Period 10),TfW Rail,4979,8637,11040,2007,17991,1258,12338,3375,440,1650
Apr 2023 to Mar 2024 (Period 11),TfW Rail,7058,10417,1973,3260,16814,1043,7641,2670,627,1167
Apr 2023 to Mar 2024 (Period 12),TfW Rail,3984,6727,4914,1951,15987,964,6824,2666,439,1317
Apr 2023 to Mar 2024 (Period 13),TfW Rail,5274,4659,2189,2550,14855,2052,9061,1970,640,1434
Apr 2024 to Mar 2025 (Period 01),TfW Rail,9141,8378,4214,1286,15613,970,9259,1820,371,884
Apr 2024 to Mar 2025 (Period 02),TfW Rail,7232,11760,4287,1947,18993,982,7247,3313,437,1142
Apr 2024 to Mar 2025 (Period 03),TfW Rail,6771,10704,952,2385,15829,1463,8556,3418,494,1340
Apr 2024 to Mar 2025 (Period 04),TfW Rail,12082,8780,834,2407,19140,1778,7588,3134,335,1777
Apr 2024 to Mar 2025 (Period 05),TfW Rail,9719,8702,550,2394,19720,1038,8816,2854,377,1296
Apr 2024 to Mar 2025 (Period 06),TfW Rail,11070,12350,3246,1861,20581,3185,7757,2191,437,1433
Apr 2024 to Mar 2025 (Period 07),TfW Rail,9923,6975,6494,2266,19012,2252,6493,3748,398,1895
Apr 2024 to Mar 2025 (Period 08),TfW Rail,6197,9547,14952,2803,17088,2940,19464,4754,486,1806
Apr 2024 to Mar 2025 (Period 09),TfW Rail,7614,12202,11786,2917,22761,2415,9964,2337,515,2092
Apr 2024 to Mar 2025 (Period 10),TfW Rail,5361,11921,4581,1619,19029,1898,7985,2460,506,1402
Apr 2024 to Mar 2025 (Period 11),TfW Rail,7400,8259,11670,2008,19386,1226,6586,4882,463,738
Apr 2024 to Mar 2025 (Period 12),TfW Rail,7064,7266,1896,2173,14386,1315,5965,2676,374,1201
Apr 2024 to Mar 2025 (Period 13),TfW Rail,11484,8011,467,943,16638,2530,8530,2192,412,1046
Apr 2025 to Mar 2026 (Period 01),TfW Rail,7093,7410,543,1371,12820,1400,5770,2528,469,1264
Apr 2022 to Mar 2023 (Period 01),TransPennine Express,3791,2433,77,1714,2822,460,4040,1529,457,962
Apr 2022 to Mar 2023 (Period 02),TransPennine Express,3710,2244,55,1507,1712,156,4768,2234,484,1213
Apr 2022 to Mar 2023 (Period 03),TransPennine Express,3262,2356,775,302,1610,304,5346,2145,324,920
Apr 2022 to Mar 2023 (Period 04),TransPennine Express,6009,5789,4206,2175,3430,196,6158,2081,539,1127
Apr 2022 to Mar 2023 (Period 05),TransPennine Express,3152,3407,542,1372,1931,260,5324,2394,482,970
Apr 2022 to Mar 2023 (Period 06),TransPennine Express,4562,2285,1293,1806,1870,242,5694,2044,687,1374
Apr 2022 to Mar 2023 (Period 07),TransPennine Express,3135,2138,2856,2704,1538,289,4685,3609,548,975
Apr 2022 to Mar 2023 (Period 08),TransPennine Express,4649,2912,2670,2252,1832,484,5877,2100,693,1402
Apr 2022 to Mar 2023 (Period 09),TransPennine Express,3407,3755,2736,2697,3217,332,6244,2549,617,1466
Apr 2022 to Mar 2023 (Period 10),TransPennine Express,779,1120,2381,908,1966,184,4769,1329,698,942
Apr 2022 to Mar 2023 (Period 11),TransPennine Express,1854,4795,3861,2969,3794,584,8034,4426,1102,1670
Apr 2022 to Mar 2023 (Period 12),TransPennine Express,2780,3645,3173,3958,2368,320,6742,3120,951,1729
Apr 2022 to Mar 2023 (Period 13),TransPennine Express,4807,3235,1877,2110,1957,477,7099,2532,1021,1544
Apr 2023 to Mar 2024 (Period 01),TransPennine Express,5613,7151,692,2845,2810,351,5819,3370,634,1650
Apr 2023 to Mar 2024 (Period 02),TransPennine Express,3093,6573,325,3476,3976,298,7960,4710,580,1324
Apr 2023 to Mar 2024 (Period 03),TransPennine Express,3976,5256,1744,2273,3828,960,6080,3135,554,1207
Apr 2023 to Mar 2024 (Period 04),TransPennine Express,5516,8406,1324,4911,2565,512,4966,4430,794,2150
Apr 2023 to Mar 2024 (Period 05),TransPennine Express,5705,6317,1241,1837,4889,526,5854,5435,849,2052
Apr 2023 to Mar 2024 (Period 06),TransPennine Express,4468,6077,1019,2836,4437,362,3441,3810,877,1902
Apr 2023 to Mar 2024 (Period 07),TransPennine Express,6375,6915,3075,2183,3711,341,4392,4419,1322,2936
Apr 2023 to Mar 2024 (Period 08),TransPennine Express,4239,8260,13680,2220,3680,492,4682,5934,1313,2890
Apr 2023 to Mar 2024 (Period 09),TransPennine Express,4498,7536,12432,6607,4900,771,6883,7062,1697,3655
Apr 2023 to Mar 2024 (Period 10),TransPennine Express,4011,5147,7162,1403,3296,456,4140,5236,1514,2502
Apr 2023 to Mar 2024 (Period 11),TransPennine Express,5953,9228,3435,5890,2930,229,2358,4466,770,1642
Apr 2023 to Mar 2024 (Period 12),TransPennine Express,3611,5390,1523,3374,2170,336,3321,3112,794,2020
Apr 2023 to Mar 2024 (Period 13),TransPennine Express,3755,5605,1777,4450,1802,305,2862,3240,1048,2483
Apr 2024 to Mar 2025 (Period 01),TransPennine Express,5027,4642,3552,6822,2572,472,2670,2358,611,1332
Apr 2024 to Mar 2025 (Period 02),TransPennine Express,5220,8015,1881,2277,2961,225,3000,2863,736,1642
Apr 2024 to Mar 2025 (Period 03),TransPennine Express,6012,5823,1380,3454,2356,328,2124,3535,790,3428
Apr 2024 to Mar 2025 (Period 04),TransPennine Express,6839,6745,1694,1751,4310,177,2997,3625,884,3168
Apr 2024 to Mar 2025 (Period 05),TransPennine Express,9639,7317,2053,3562,2540,312,2508,4032,720,2208
Apr 2024 to Mar 2025 (Period 06),TransPennine Express,10569,7570,2656,3042,2901,193,2122,7827,913,2838
Apr 2024 to Mar 2025 (Period 07),TransPennine Express,8091,7519,2685,3434,4426,350,3123,5614,1153,4318
Apr 2024 to Mar 2025 (Period 08),TransPennine Express,7670,8673,4758,2523,2422,410,2655,4755,1254,3928
Apr 2024 to Mar 2025 (Period 09),TransPennine Express,8919,7885,7960,4350,2863,366,3728,5433,1098,2792
Apr 2024 to Mar 2025 (Period 10),TransPennine Express,8277,5178,5067,5540,3890,144,4869,5300,1798,2355
Apr 2024 to Mar 2025 (Period 11),TransPennine Express,8218,9726,9803,2613,6296,374,3112,6913,1281,2306
Apr 2024 to Mar 2025 (Period 12),TransPennine Express,7532,7825,3196,4489,2904,206,3291,8154,1483,2568
Apr 2024 to Mar 2025 (Period 13),TransPennine Express,4400,6447,553,5084,2642,310,2184,4371,877,1891
Apr 2025 to Mar 2026 (Period 01),TransPennine Express,7415,6465,536,3856,5556,358,2453,6793,1228,2388
Apr 2022 to Mar 2023 (Period 01),Vintage Trains,0,14,0,3,0,15,0,0,0,0
Apr 2022 to Mar 2023 (Period 02),Vintage Trains,0,0,0,4,0,0,0,9,0,0
Apr 2022 to Mar 2023 (Period 03),Vintage Trains,58,26,0,5,18,9,0,0,2,9
Apr 2022 to Mar 2023 (Period 04),Vintage Trains,0,0,10,10,137,7,0,0,0,8
Apr 2022 to Mar 2023 (Period 05),Vintage Trains,14,0,0,5,21,0,0,4,0,9
Apr 2022 to Mar 2023 (Period 06),Vintage Trains,4,0,0,13,0,3,0,0,0,15
Apr 2022 to Mar 2023 (Period 08),Vintage Trains,0,0,0,3,0,3,0,0,0,0
Apr 2022 to Mar 2023 (Period 09),Vintage Trains,11,155,2,7,22,177,3,39,5,35
Apr 2022 to Mar 2023 (Period 10),Vintage Trains,6,159,0,0,5,145,0,0,0,15
Apr 2022 to Mar 2023 (Period 12),Vintage Trains,0,0,3,0,0,0,0,0,0,0
Apr 2022 to Mar 2023 (Period 13),Vintage Trains,0,3,0,2,0,2,0,4,0,0
Apr 2023 to Mar 2024 (Period 01),Vintage Trains,15,0,0,0,9,22,0,0,0,0
Apr 2023 to Mar 2024 (Period 03),Vintage Trains,12,0,15,3,0,12,0,21,0,0
Apr 2023 to Mar 2024 (Period 04),Vintage Trains,0,0,0,1,0,20,0,3,0,14
Apr 2023 to Mar 2024 (Period 05),Vintage Trains,6,0,0,1,0,4,0,0,0,9
Apr 2023 to Mar 2024 (Period 06),Vintage Trains,0,0,2,3,0,0,0,0,0,0
Apr 2023 to Mar 2024 (Period 07),Vintage Trains,0,19,17,0,36,14,0,0,0,0
Apr 2023 to Mar 2024 (Period 08),Vintage Trains,0,0,14,2,0,9,0,0,0,0
